variable,or,se,ll,ul,p.value,race,model
as.factor(x1locale)2,1.0402947790262795,0.2928571459018082,0.5858794151625055,1.8471603529015646,0.8926971885782697,Multiracial,weighted
as.factor(x1locale)3,0.4391112921005935,0.5011326110220677,0.1644309355078751,1.172642643275712,0.10053103063611335,Multiracial,weighted
as.factor(x1locale)4,0.8195849202007448,0.31817234070437905,0.43918192372313103,1.5294787994141728,0.5317657301112639,Multiracial,weighted
(Intercept),3.4661288480360126e-4,0.5494739082958808,1.1806211258737922e-4,0.001017604117688112,0,White,weighted
as.numeric(math_4level),1.9008062998844772,0.07931014635666421,1.6270852460929999,2.2205748582357954,6.661338147750939e-16,White,weighted
as.numeric(par_exp),1.4388439788773828,0.04177627955862071,1.3257172164731255,1.5616241305663594,0,White,weighted
as.numeric(par_sch_inv),1.0658286437041578,0.026538107131380807,1.0117851802562663,1.1227587830971386,0.016292221618910974,White,weighted
female1,1.4284882518221176,0.07548510550766153,1.2320132224209106,1.6562960920046497,2.3087269449550973e-6,White,weighted
par_ba,1.2973492520480971,0.10185190975923868,1.062564012856479,1.5840128796241248,0.01059140007142556,White,weighted
as.factor(first_lang)2,0.8060600934606762,0.34408056713919893,0.41066072860268826,1.5821646167156311,0.5309289033769629,White,weighted
as.factor(first_lang)3,0.7928059423724564,0.45607856406004516,0.3242962625384719,1.9381699232087621,0.6107017975565259,White,weighted
frpl1,0.7065242912124423,0.10697994484134361,0.5728376790929062,0.8714101608394454,0.0011649893229821462,White,weighted
math_score,1.0811876874861417,0.006737044022245502,1.06700470598383,1.0955591938967006,0,White,weighted
public,2.262169951522359,0.16748983435841877,1.6291128033580649,3.141226856128212,1.0943027290988283e-6,White,weighted
as.factor(x1locale)2,0.8250683088152295,0.12085476297137987,0.6510536482114915,1.0455938862815322,0.11159250154678269,White,weighted
as.factor(x1locale)3,0.6606305018581357,0.24306648900209388,0.4102555740988178,1.0638067768951485,0.08809301172094242,White,weighted
as.factor(x1locale)4,0.6098982356494448,0.18534014818646558,0.4241250887390393,0.8770428058246262,0.007633410459007228,White,weighted
1,8.534040168171e-4,0.6568720866526913,2.355180239373588e-4,0.0030923256052507817,2.1694326135340733e-25,Asian American,unweighted
